event,feature_set,model,auroc,auroc_sd,lift_vs_market
usdc_svb_2023,oc_pxdev,LR,0.8431,0.0023,-0.0331
usdc_svb_2023,oc_pxdev,RF,0.8581,0.0047,-0.0681
usdc_svb_2023,oc_pxdev,GBM,0.8782,0.0086,-0.0597
usdc_svb_2023,oc_imb,LR,0.8431,0.0023,-0.0331
usdc_svb_2023,oc_imb,RF,0.8581,0.0047,-0.0681
usdc_svb_2023,oc_imb,GBM,0.8782,0.0086,-0.0597
usdc_svb_2023,oc_slip,LR,0.8431,0.0023,-0.0331
usdc_svb_2023,oc_slip,RF,0.8581,0.0047,-0.0681
usdc_svb_2023,oc_slip,GBM,0.8782,0.0086,-0.0597
usdc_svb_2023,oc_flow,LR,0.849,0.0027,-0.0272
usdc_svb_2023,oc_flow,RF,0.7445,0.0182,-0.1818
usdc_svb_2023,oc_flow,GBM,0.8143,0.0053,-0.1235
usdc_svb_2023,both_minus_pxdev,LR,0.9539,0.0024,0.0777
usdc_svb_2023,both_minus_pxdev,RF,0.9751,0.0065,0.0488
usdc_svb_2023,both_minus_pxdev,GBM,0.9673,0.005,0.0295
usdc_svb_2023,both_minus_imb,LR,0.9601,0.0013,0.0839
usdc_svb_2023,both_minus_imb,RF,0.9751,0.0065,0.0488
usdc_svb_2023,both_minus_imb,GBM,0.9673,0.005,0.0295
usdc_svb_2023,both_minus_slip,LR,0.9601,0.0013,0.0839
usdc_svb_2023,both_minus_slip,RF,0.9751,0.0065,0.0488
usdc_svb_2023,both_minus_slip,GBM,0.9673,0.005,0.0295
usdc_svb_2023,both_minus_flow,LR,0.8735,0.004,-0.0028
usdc_svb_2023,both_minus_flow,RF,0.9541,0.0061,0.0278
usdc_svb_2023,both_minus_flow,GBM,0.9523,0.0122,0.0144
