caused_node,causing_node,fevd_share,horizon,method
usdt_kraken,curve_3pool,0.07292408718701356,10,var_abscoef_fallback
usdt_kraken,eth_bridge_flows,0.03862402250295034,10,var_abscoef_fallback
usdt_kraken,eth_usdc_exchange_flows,0.11644225033977602,10,var_abscoef_fallback
usdt_kraken,eth_usdt_exchange_flows,0.07233335032586881,10,var_abscoef_fallback
usdt_kraken,uniswap_usdc_usdt_005,0.07289775690667978,10,var_abscoef_fallback
usdt_kraken,usdc_binance,0.05190708966074905,10,var_abscoef_fallback
usdt_kraken,usdc_coinbase,0.010199524571479922,10,var_abscoef_fallback
usdt_kraken,usdc_kraken,0.06311871806896553,10,var_abscoef_fallback
usdt_kraken,usdc_mint_burn,0.07233334434264471,10,var_abscoef_fallback
usdt_kraken,usdt_binance,0.19176707007660343,10,var_abscoef_fallback
usdt_kraken,usdt_kraken,0.23745278601726108,10,var_abscoef_fallback
