event_id,node_id,source_tier_nominal,source_tier_actual,sources,rows_available,start_utc,end_utc,artefact_count,coverage_pct,sequence_gap_count,gap_rate,resync_count,clock_offset_ms,empirical_node
usdc_svb_2023,usdc_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,27120,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,72.43209268743897,0,,0,,true
usdc_svb_2023,usdc_coinbase,A,B,real_Coinbase_tier_B;silver_reconstruction_from_books,37434,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,99.97872262763975,0,,0,,true
usdc_svb_2023,usdc_kraken,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_books,1728,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.07078154942728,0,,0,,false
usdc_svb_2023,usdc_mint_burn,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.003215302817985,0,,0,,false
usdc_svb_2023,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,27120,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,72.43209268743897,0,,0,,true
usdc_svb_2023,usdt_kraken,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_books,1728,2023-03-08T00:00:00Z,2023-03-20T23:59:59Z,2,23.07078154942728,0,,0,,false
usdt_curve_2023,__event_panel__,mixed,mixed,gold_panel_builder,26712,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,1,,0,,0,,true
usdt_curve_2023,curve_3pool,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,curve_crvusd_usdt,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,eth_usdt_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.701312194308944,0,,0,,false
usdt_curve_2023,tron_usdt_exchange_flows,B,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.701312194308944,0,,0,,false
usdt_curve_2023,uniswap_usdc_usdt_005,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_pool_states,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,usdt_binance,A,B,real_Binance_tier_B;silver_reconstruction_from_books,46080,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,99.99573224233052,0,,0,,true
usdt_curve_2023,usdt_kraken,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_books,1728,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.745945429916418,0,,0,,false
usdt_curve_2023,usdt_mint_burn,A,fixture_non_empirical,deterministic_pipeline_fixture;silver_reconstruction_from_flows,144,2023-06-10T00:00:00Z,2023-06-25T23:59:59Z,2,18.701312194308944,0,,0,,false
