h,abs_flow,abs_basis,rolling_arb_r,phase
108,4931723.72474,0.00035,-0.2924,recovery
109,33373.516353,0.00035,-0.2734,recovery
110,1903448.012578,0.000364,-0.1698,recovery
111,2767.697148,0.00045,-0.4185,recovery
112,955563.502285,0.00047,-0.35,recovery
113,582942.669828,0.00045,-0.5083,recovery
114,132481.165188,0.000455,-0.2618,recovery
115,1005456.232793,0.000331,-0.6305,recovery
116,903447.439868,0.000301,-0.5564,recovery
117,726743.2012,0.00025,-0.4033,recovery
118,38799.783229,0.000265,-0.2228,recovery
119,532167.12349,0.000251,-0.2605,recovery
120,1119033.702224,0.000327,0.7211,recovery
121,3615.323354,0.00035,-0.0127,recovery
122,13786.5337,0.000349,-0.2587,recovery
123,127591.219301,0.00029,-0.0742,recovery
124,93878.447283,0.00025,-0.0594,recovery
125,14017.462877,0.000284,0.1564,recovery
126,5385.034672,0.000268,-0.4581,recovery
127,2988.0,0.000249,-0.1153,recovery
128,548172.779927,0.00028,0.3288,recovery
129,2415474.538363,0.000452,0.9746,recovery
130,3104236.488273,0.000552,0.9853,recovery
131,238468.86901,0.000549,0.6392,recovery
132,132993.924203,0.00055,0.3608,recovery
133,12111623.664472,0.000433,-0.1211,recovery
134,158162.102571,0.00035,-0.2196,recovery
135,605058.593515,0.000331,-0.0463,recovery
136,2498119.946978,0.000248,-0.0451,recovery
137,2951636.73799,0.000214,0.1016,recovery
138,2679568.824996,9.7e-05,0.4482,recovery
139,15947007.900776,5.7e-05,-0.7645,recovery
140,7887819.840996,4.8e-05,-0.7309,recovery
141,3746536.905544,5e-05,-0.5368,recovery
142,306906.385883,5e-05,-0.2742,recovery
143,700487.673064,8.4e-05,-0.3339,recovery
144,565779.890458,0.000139,-0.4142,recovery
145,95003.028497,5.7e-05,-0.4097,recovery
146,1993541.928775,5e-05,-0.3432,recovery
147,105968.166979,5.1e-05,-0.0558,recovery
148,259474.219161,5.6e-05,-0.065,recovery
149,51680.8,0.000138,-0.244,recovery
150,1364180.568719,0.000159,0.0958,recovery
151,5871717.532285,0.000173,0.5409,recovery
152,10434.40679,0.00015,0.5378,recovery
153,4860466.51614,0.000201,0.6479,recovery
154,157658.690056,0.000202,0.4265,recovery
155,356749.923854,0.000151,0.38,recovery
156,28590.974178,0.000126,0.4742,recovery
157,37275.69514,0.000115,0.5941,recovery
158,4147464.779856,4.7e-05,-0.1201,recovery
159,5213535.343287,5.4e-05,-0.832,recovery
160,814087.241419,4.8e-05,-0.7161,recovery
161,2441038.049067,6.7e-05,-0.7201,recovery
162,50713.013059,6.7e-05,-0.5547,recovery
163,3479346.753505,5e-05,-0.4244,recovery
164,1993384.747079,4.9e-05,-0.2593,recovery
165,436555.556149,4.9e-05,-0.1171,recovery
166,41724.937606,5e-05,-0.0644,recovery
167,34133.15216,4.8e-05,-0.2887,recovery
168,843332.87486,4.7e-05,0.3704,post
169,104551.289988,5e-05,-0.2238,post
170,15908.129579,4.9e-05,-0.6834,post
171,2751699.391114,4.9e-05,-0.1482,post
172,92088.11616,5e-05,-0.1395,post
173,68640.48367,5.1e-05,-0.3592,post
174,52247.46,5e-05,-0.5291,post
175,1281741.857815,5e-05,-0.4742,post
176,2999.672072,4.8e-05,-0.221,post
177,38338.246762,5e-05,0.1289,post
178,41425.240176,5e-05,0.1245,post
179,81114.700679,5e-05,0.2387,post
180,3442549.234575,5e-05,0.2882,post
181,64812.92505,5e-05,0.2151,post
182,2043060.496598,8.2e-05,0.3671,post
183,10903636.941731,0.000213,0.9475,post
184,1837145.902883,0.00025,0.5427,post
185,741262.223217,0.00025,0.2425,post
186,2631497.455504,0.000223,0.2753,post
187,1352546.744622,0.00025,-0.0487,post
188,5022468.680092,0.000178,-0.5864,post
189,97722.609343,0.000235,-0.8646,post
190,95984.939527,0.00025,-0.9148,post
191,750100.665898,0.00025,-0.9146,post
192,50480.0,0.00025,-0.9233,post
193,77604.737767,0.00025,-0.9633,post
194,21784.319258,0.000249,0.1653,post
195,19567.391643,0.000233,0.2713,post
196,26429.429024,0.000151,0.2676,post
197,23873.23046,0.00015,0.4526,post
198,1013563.759058,0.00015,-0.4271,post
199,29501.757144,7.5e-05,-0.1463,post
200,1248374.510674,0.000142,-0.078,post
201,184097.81434,0.000127,0.3351,post
202,7194535.011651,4.8e-05,-0.6883,post
203,705.01,5e-05,-0.3954,post
204,1055996.325253,5.2e-05,-0.3413,post
205,6000.0,0.000116,-0.4338,post
206,1266230.429687,0.000186,-0.3555,post
207,821833.190567,0.00025,-0.3197,post
208,4785186.422697,0.000254,0.6215,post
209,109068.538994,0.000252,0.3379,post
210,2979843.115172,0.000306,0.5324,post
211,1425244.181487,0.000398,0.0662,post
212,3468448.168647,0.000362,0.1017,post
213,1466966.986674,0.000396,-0.1937,post
214,3169884.964839,0.00045,0.4668,post
215,501977.699686,0.000459,-0.4985,post
216,187164.865546,0.000467,-0.5719,post
217,1489.0,0.00045,-0.6464,post
218,61535.244642,0.00045,-0.2976,post
219,91416.420386,0.000448,-0.19,post
220,219645.8444,0.000448,0.4794,post
221,733381.329343,0.00045,-0.0291,post
222,4440.724372,0.00045,0.0824,post
223,96.326908,0.00045,0.0817,post
224,63942.31,0.00045,0.0829,post
225,1702431.833184,0.000449,-0.2778,post
226,0.0,0.000449,-0.4855,post
227,20229.454332,0.00045,-0.6221,post
228,302504.91927,0.00045,-0.5787,post
229,1291317.901511,0.00045,-0.3002,post
230,2000.0,0.00045,-0.3074,post
231,2727940.580739,0.000544,0.8933,post
232,1051.745565,0.000453,0.8879,post
233,64618.107067,0.00045,0.889,post
234,3305.806386,0.00045,0.8878,post
235,617944.133885,0.00045,0.973,post
236,1788.319769,0.000451,0.9724,post
237,32928.837456,0.00045,-0.3208,post
238,5920.808212,0.00045,-0.2389,post
239,0.0,0.00045,-0.2135,post
240,1191.7411,0.000459,-0.2365,post
241,5936.4905,0.00055,-0.1076,post
242,7693.3797,0.000549,-0.1625,post
243,3779.4315,0.00055,0.61,post
244,2.999743,0.000468,0.9069,post
245,665072.268334,0.000449,-0.5284,post
246,1607146.382168,0.000366,-0.902,post
247,7654.021993,0.00035,-0.5227,post
248,145020.571581,0.00035,-0.3191,post
249,1090246.928226,0.00028,-0.3478,post
250,69951.244014,0.00025,0.1807,post
251,16935.6812,0.000289,0.2857,post
252,3.781105,0.000349,-0.3501,post
253,156933.881207,0.00035,-0.2963,post
254,189488.305943,0.00035,-0.2788,post
255,275941.249112,0.00035,0.4761,post
256,85835.856401,0.00035,0.487,post
257,62415.73904,0.000437,-0.3201,post
258,531490.843619,0.00045,0.4339,post
259,10070.8903,0.000449,0.0901,post
260,124.0,0.000357,0.235,post
261,3996.239097,0.00035,0.4858,post
262,53306.4,0.00035,0.5124,post
