h,abs_flow,abs_basis,rolling_arb_r,phase
-207,0.0,4.9e-05,-0.0151,pre
-206,38640.601262,5e-05,-0.0564,pre
-205,70487.874289,5e-05,-0.2722,pre
-204,19983.28403,5e-05,0.3527,pre
-203,0.0,5e-05,0.3514,pre
-202,25457.566911,5e-05,0.4752,pre
-201,72711.715812,5e-05,,pre
-200,7327422.102879,5e-05,-1.0,pre
-199,190249.674226,5e-05,-0.3844,pre
-197,259973.7828,8.2e-05,-0.1749,pre
-196,3339.282402,0.00015,-0.278,pre
-195,45020.671137,0.00015,-0.4049,pre
-194,1510.085143,0.00015,-0.5665,pre
-193,4465.934963,0.00015,-0.8984,pre
-192,50000.0,0.00015,-0.9759,pre
-191,405828.531366,0.00015,,pre
-190,27794.1941,5.6e-05,0.192,pre
-189,98375.2529,5e-05,0.1691,pre
-188,76347.722368,5e-05,0.3109,pre
-187,68577.258723,4.9e-05,0.5773,pre
-186,300030.0,5e-05,0.763,pre
-185,107374.592351,5e-05,-0.3889,pre
-184,233488.41223,5e-05,0.4048,pre
-183,1481259.05008,5e-05,0.2772,pre
-182,450367.656977,5e-05,0.3446,pre
-181,5198.029152,5e-05,,pre
-180,1365172.265005,5e-05,,pre
-179,826621.175503,5e-05,,pre
-178,440598.850322,5e-05,,pre
-177,0.0,5e-05,,pre
-176,14017726.132096,5e-05,,pre
-175,8998.169016,5e-05,,pre
-174,138014.021661,5e-05,,pre
-173,77984.32395,5e-05,,pre
-172,217985.0,5e-05,,pre
-171,48943.031814,5.1e-05,-0.2042,pre
-170,1243.045314,5.1e-05,-0.5318,pre
-169,616298.768469,5.6e-05,0.8809,pre
-168,383192.071217,0.00032,0.3453,pre
-164,0.0,0.00015,0.2023,pre
-162,107910.0,0.00015,0.1952,pre
-161,128003.854311,0.00015,0.0988,pre
-159,3708025.135817,0.00015,-0.0902,pre
-158,1000.0,0.00015,-0.1127,pre
-157,1500.0,0.00015,,pre
-156,661941.140299,8.7e-05,0.0356,pre
-153,917328.055527,5e-05,0.0444,pre
-152,90023.518113,5e-05,0.262,pre
-151,33644.133345,5e-05,-0.435,pre
-148,375080.636996,5e-05,-0.3004,pre
